"mosquito_id" "age_class" "isolate" "Ct" "positive"
451 "4-day-old" "isolate B (36 gam/µl)" 32.44 1
452 "4-day-old" "isolate D (40 gam/µl)" 32.45 1
453 "12-day-old" "isolate C (80 gam/µl)" 32.53 1
454 "4-day-old" "isolate D (40 gam/µl)" 32.56 1
455 "8-day-old" "isolate B (36 gam/µl)" 32.61 1
456 "4-day-old" "isolate B (36 gam/µl)" 32.64 1
457 "12-day-old" "isolate A (40 gam/µl)" 32.66 1
458 "8-day-old" "isolate D (40 gam/µl)" 32.68 1
459 "8-day-old" "isolate B (36 gam/µl)" 32.69 1
460 "4-day-old" "isolate C (80 gam/µl)" 32.75 1
461 "12-day-old" "isolate A (40 gam/µl)" 32.86 0
462 "8-day-old" "isolate D (40 gam/µl)" 32.94 1
463 "8-day-old" "isolate D (40 gam/µl)" 32.95 1
464 "12-day-old" "isolate A (40 gam/µl)" 32.98 0
465 "8-day-old" "isolate D (40 gam/µl)" 32.98 1
466 "12-day-old" "isolate A (40 gam/µl)" 33.04 1
467 "4-day-old" "isolate B (36 gam/µl)" 33.05 1
468 "8-day-old" "isolate A (40 gam/µl)" 33.06 1
469 "4-day-old" "isolate D (40 gam/µl)" 33.09 1
470 "4-day-old" "isolate D (40 gam/µl)" 33.13 1
471 "8-day-old" "isolate B (36 gam/µl)" 33.15 1
472 "8-day-old" "isolate B (36 gam/µl)" 33.16 1
473 "4-day-old" "isolate C (80 gam/µl)" 33.26 1
474 "4-day-old" "isolate D (40 gam/µl)" 33.32 0
475 "12-day-old" "isolate D (40 gam/µl)" 33.38 1
476 "8-day-old" "isolate C (80 gam/µl)" 33.39 1
477 "12-day-old" "isolate D (40 gam/µl)" 33.43 1
478 "12-day-old" "isolate B (36 gam/µl)" 33.44 1
479 "8-day-old" "isolate D (40 gam/µl)" 33.47 1
480 "8-day-old" "isolate B (36 gam/µl)" 33.55 1
481 "12-day-old" "isolate A (40 gam/µl)" 33.57 1
482 "12-day-old" "isolate D (40 gam/µl)" 33.57 1
483 "12-day-old" "isolate A (40 gam/µl)" 33.61 0
484 "12-day-old" "isolate B (36 gam/µl)" 33.64 1
485 "8-day-old" "isolate B (36 gam/µl)" 33.69 1
486 "8-day-old" "isolate D (40 gam/µl)" 33.71 0
487 "8-day-old" "isolate C (80 gam/µl)" 33.71 1
488 "8-day-old" "isolate D (40 gam/µl)" 33.75 0
489 "8-day-old" "isolate C (80 gam/µl)" 33.81 1
490 "8-day-old" "isolate D (40 gam/µl)" 33.85 1
491 "8-day-old" "isolate C (80 gam/µl)" 34.08 1
492 "4-day-old" "isolate D (40 gam/µl)" 34.11 0
493 "4-day-old" "isolate B (36 gam/µl)" 34.16 0
494 "12-day-old" "isolate A (40 gam/µl)" 34.17 1
495 "8-day-old" "isolate D (40 gam/µl)" 34.22 1
496 "8-day-old" "isolate D (40 gam/µl)" 34.24 1
497 "12-day-old" "isolate D (40 gam/µl)" 34.25 1
498 "8-day-old" "isolate D (40 gam/µl)" 34.25 1
499 "12-day-old" "isolate D (40 gam/µl)" 34.29 0
500 "8-day-old" "isolate D (40 gam/µl)" 34.35 0
501 "8-day-old" "isolate D (40 gam/µl)" 34.48 0
502 "8-day-old" "isolate C (80 gam/µl)" 34.5 1
503 "8-day-old" "isolate D (40 gam/µl)" 34.59 0
504 "8-day-old" "isolate A (40 gam/µl)" 34.59 1
505 "8-day-old" "isolate A (40 gam/µl)" 34.6 1
506 "8-day-old" "isolate C (80 gam/µl)" 34.62 1
507 "12-day-old" "isolate D (40 gam/µl)" 34.84 1
508 "8-day-old" "isolate D (40 gam/µl)" 34.86 0
509 "12-day-old" "isolate C (80 gam/µl)" 34.95 1
510 "12-day-old" "isolate D (40 gam/µl)" 34.96 1
511 "12-day-old" "isolate A (40 gam/µl)" 35 0
512 "12-day-old" "isolate B (36 gam/µl)" 35 1
513 "8-day-old" "isolate D (40 gam/µl)" 35 1
514 "4-day-old" "isolate D (40 gam/µl)" 35.01 0
515 "8-day-old" "isolate D (40 gam/µl)" 35.04 0
516 "4-day-old" "isolate D (40 gam/µl)" 35.04 0
517 "4-day-old" "isolate B (36 gam/µl)" 35.12 0
518 "4-day-old" "isolate D (40 gam/µl)" 35.13 0
519 "12-day-old" "isolate C (80 gam/µl)" 35.18 0
520 "8-day-old" "isolate D (40 gam/µl)" 35.21 0
521 "12-day-old" "isolate B (36 gam/µl)" 35.22 0
522 "12-day-old" "isolate C (80 gam/µl)" 35.24 0
523 "12-day-old" "isolate C (80 gam/µl)" 35.25 0
524 "12-day-old" "isolate C (80 gam/µl)" 35.26 0
525 "12-day-old" "isolate C (80 gam/µl)" 35.3 0
526 "4-day-old" "isolate D (40 gam/µl)" 35.34 0
527 "8-day-old" "isolate B (36 gam/µl)" 35.36 0
528 "8-day-old" "isolate D (40 gam/µl)" 35.41 0
529 "4-day-old" "isolate D (40 gam/µl)" 35.45 0
530 "12-day-old" "isolate B (36 gam/µl)" 35.51 0
531 "12-day-old" "isolate C (80 gam/µl)" 35.52 0
532 "8-day-old" "isolate D (40 gam/µl)" 35.58 0
533 "4-day-old" "isolate B (36 gam/µl)" 35.59 0
534 "4-day-old" "isolate A (40 gam/µl)" 35.6 0
535 "12-day-old" "isolate C (80 gam/µl)" 35.7 0
536 "12-day-old" "isolate C (80 gam/µl)" 35.8 0
537 "4-day-old" "isolate B (36 gam/µl)" 35.81 0
538 "4-day-old" "isolate D (40 gam/µl)" 35.96 0
539 "8-day-old" "isolate C (80 gam/µl)" 36.05 0
540 "4-day-old" "isolate D (40 gam/µl)" 36.3 0
541 "12-day-old" "isolate C (80 gam/µl)" 36.3 0
542 "4-day-old" "isolate D (40 gam/µl)" 36.37 0
543 "8-day-old" "isolate D (40 gam/µl)" 36.43 0
544 "4-day-old" "isolate D (40 gam/µl)" 36.54 0
545 "12-day-old" "isolate C (80 gam/µl)" 36.74 0
546 "8-day-old" "isolate D (40 gam/µl)" 36.83 0
547 "4-day-old" "isolate A (40 gam/µl)" 36.97 0
548 "4-day-old" "isolate A (40 gam/µl)" 37.07 0
549 "4-day-old" "isolate A (40 gam/µl)" 37.12 0
550 "4-day-old" "isolate D (40 gam/µl)" 37.16 0
551 "4-day-old" "isolate B (36 gam/µl)" 37.3 0
552 "12-day-old" "isolate D (40 gam/µl)" 37.32 0
553 "4-day-old" "isolate D (40 gam/µl)" 37.35 0
554 "4-day-old" "isolate B (36 gam/µl)" 37.55 0
555 "4-day-old" "isolate D (40 gam/µl)" 37.64 0
556 "12-day-old" "isolate C (80 gam/µl)" 37.67 0
557 "12-day-old" "isolate C (80 gam/µl)" 37.84 0
558 "4-day-old" "isolate D (40 gam/µl)" 37.84 0
559 "4-day-old" "isolate D (40 gam/µl)" 38.03 0
560 "4-day-old" "isolate A (40 gam/µl)" 38.23 0
561 "8-day-old" "isolate C (80 gam/µl)" 38.35 0
562 "4-day-old" "isolate D (40 gam/µl)" 38.36 0
563 "4-day-old" "isolate A (40 gam/µl)" 38.4 0
564 "12-day-old" "isolate B (36 gam/µl)" 38.6 0
565 "12-day-old" "isolate B (36 gam/µl)" 38.73 0
566 "4-day-old" "isolate D (40 gam/µl)" 39.48 0
567 "4-day-old" "isolate A (40 gam/µl)" NA 0
568 "12-day-old" "isolate B (36 gam/µl)" NA 0
569 "12-day-old" "isolate B (36 gam/µl)" NA 0
570 "4-day-old" "isolate C (80 gam/µl)" NA 0
571 "8-day-old" "isolate D (40 gam/µl)" NA 0
572 "4-day-old" "isolate D (40 gam/µl)" NA 0
573 "4-day-old" "isolate D (40 gam/µl)" NA 0
574 "12-day-old" "isolate A (40 gam/µl)" NA 0
575 "12-day-old" "isolate A (40 gam/µl)" NA 0
576 "12-day-old" "isolate A (40 gam/µl)" NA 0
577 "12-day-old" "isolate A (40 gam/µl)" NA 0
578 "12-day-old" "isolate A (40 gam/µl)" NA 0
579 "12-day-old" "isolate A (40 gam/µl)" NA 0
580 "12-day-old" "isolate A (40 gam/µl)" NA 0
581 "8-day-old" "isolate A (40 gam/µl)" NA 0
582 "4-day-old" "isolate A (40 gam/µl)" NA 0
583 "4-day-old" "isolate A (40 gam/µl)" NA 0
584 "12-day-old" "isolate B (36 gam/µl)" NA 0
585 "12-day-old" "isolate B (36 gam/µl)" NA 0
586 "12-day-old" "isolate B (36 gam/µl)" NA 0
587 "12-day-old" "isolate B (36 gam/µl)" NA 0
588 "12-day-old" "isolate B (36 gam/µl)" NA 0
589 "12-day-old" "isolate B (36 gam/µl)" NA 0
590 "12-day-old" "isolate B (36 gam/µl)" NA 0
591 "12-day-old" "isolate B (36 gam/µl)" NA 0
592 "12-day-old" "isolate B (36 gam/µl)" NA 0
593 "8-day-old" "isolate B (36 gam/µl)" NA 0
594 "8-day-old" "isolate B (36 gam/µl)" NA 0
595 "8-day-old" "isolate B (36 gam/µl)" NA 0
596 "8-day-old" "isolate B (36 gam/µl)" NA 0
597 "8-day-old" "isolate B (36 gam/µl)" NA 0
598 "8-day-old" "isolate B (36 gam/µl)" NA 0
599 "8-day-old" "isolate B (36 gam/µl)" NA 0
600 "4-day-old" "isolate B (36 gam/µl)" NA 0
601 "4-day-old" "isolate B (36 gam/µl)" NA 0
602 "4-day-old" "isolate B (36 gam/µl)" NA 0
603 "4-day-old" "isolate B (36 gam/µl)" NA 0
604 "4-day-old" "isolate B (36 gam/µl)" NA 0
605 "4-day-old" "isolate B (36 gam/µl)" NA 0
606 "4-day-old" "isolate B (36 gam/µl)" NA 0
607 "12-day-old" "isolate C (80 gam/µl)" NA 0
608 "12-day-old" "isolate C (80 gam/µl)" NA 0
609 "12-day-old" "isolate C (80 gam/µl)" NA 0
610 "12-day-old" "isolate C (80 gam/µl)" NA 0
611 "12-day-old" "isolate C (80 gam/µl)" NA 0
612 "12-day-old" "isolate C (80 gam/µl)" NA 0
613 "12-day-old" "isolate C (80 gam/µl)" NA 0
614 "12-day-old" "isolate C (80 gam/µl)" NA 0
615 "12-day-old" "isolate C (80 gam/µl)" NA 0
616 "12-day-old" "isolate C (80 gam/µl)" NA 0
617 "12-day-old" "isolate C (80 gam/µl)" NA 0
618 "12-day-old" "isolate C (80 gam/µl)" NA 0
619 "12-day-old" "isolate C (80 gam/µl)" NA 0
620 "12-day-old" "isolate C (80 gam/µl)" NA 0
621 "12-day-old" "isolate C (80 gam/µl)" NA 0
622 "12-day-old" "isolate C (80 gam/µl)" NA 0
623 "12-day-old" "isolate C (80 gam/µl)" NA 0
624 "8-day-old" "isolate C (80 gam/µl)" NA 0
625 "8-day-old" "isolate C (80 gam/µl)" NA 0
626 "8-day-old" "isolate C (80 gam/µl)" NA 0
627 "8-day-old" "isolate C (80 gam/µl)" NA 0
628 "8-day-old" "isolate C (80 gam/µl)" NA 0
629 "4-day-old" "isolate C (80 gam/µl)" NA 0
630 "4-day-old" "isolate C (80 gam/µl)" NA 0
631 "4-day-old" "isolate C (80 gam/µl)" NA 0
632 "4-day-old" "isolate C (80 gam/µl)" NA 0
633 "4-day-old" "isolate C (80 gam/µl)" NA 0
634 "4-day-old" "isolate C (80 gam/µl)" NA 0
635 "4-day-old" "isolate C (80 gam/µl)" NA 0
636 "4-day-old" "isolate C (80 gam/µl)" NA 0
637 "4-day-old" "isolate C (80 gam/µl)" NA 0
638 "4-day-old" "isolate C (80 gam/µl)" NA 0
639 "12-day-old" "isolate D (40 gam/µl)" NA 0
640 "12-day-old" "isolate D (40 gam/µl)" NA 0
641 "12-day-old" "isolate D (40 gam/µl)" NA 0
642 "12-day-old" "isolate D (40 gam/µl)" NA 0
643 "12-day-old" "isolate D (40 gam/µl)" NA 0
644 "12-day-old" "isolate D (40 gam/µl)" NA 0
645 "12-day-old" "isolate D (40 gam/µl)" NA 0
646 "12-day-old" "isolate D (40 gam/µl)" NA 0
647 "12-day-old" "isolate D (40 gam/µl)" NA 0
648 "12-day-old" "isolate D (40 gam/µl)" NA 0
649 "12-day-old" "isolate D (40 gam/µl)" NA 0
650 "8-day-old" "isolate D (40 gam/µl)" NA 0
651 "8-day-old" "isolate D (40 gam/µl)" NA 0
652 "8-day-old" "isolate D (40 gam/µl)" NA 0
653 "8-day-old" "isolate D (40 gam/µl)" NA 0
654 "8-day-old" "isolate D (40 gam/µl)" NA 0
655 "8-day-old" "isolate D (40 gam/µl)" NA 0
656 "8-day-old" "isolate D (40 gam/µl)" NA 0
657 "8-day-old" "isolate D (40 gam/µl)" NA 0
658 "8-day-old" "isolate D (40 gam/µl)" NA 0
659 "8-day-old" "isolate D (40 gam/µl)" NA 0
660 "8-day-old" "isolate D (40 gam/µl)" NA 0
661 "8-day-old" "isolate D (40 gam/µl)" NA 0
662 "8-day-old" "isolate D (40 gam/µl)" NA 0
663 "8-day-old" "isolate D (40 gam/µl)" NA 0
664 "8-day-old" "isolate D (40 gam/µl)" NA 0
665 "8-day-old" "isolate D (40 gam/µl)" NA 0
666 "8-day-old" "isolate D (40 gam/µl)" NA 0
667 "8-day-old" "isolate D (40 gam/µl)" NA 0
668 "8-day-old" "isolate D (40 gam/µl)" NA 0
669 "8-day-old" "isolate D (40 gam/µl)" NA 0
670 "8-day-old" "isolate D (40 gam/µl)" NA 0
671 "8-day-old" "isolate D (40 gam/µl)" NA 0
672 "8-day-old" "isolate D (40 gam/µl)" NA 0
673 "8-day-old" "isolate D (40 gam/µl)" NA 0
674 "4-day-old" "isolate D (40 gam/µl)" NA 0
675 "4-day-old" "isolate D (40 gam/µl)" NA 0
676 "4-day-old" "isolate D (40 gam/µl)" NA 0
677 "4-day-old" "isolate D (40 gam/µl)" NA 0
678 "4-day-old" "isolate D (40 gam/µl)" NA 0
679 "4-day-old" "isolate D (40 gam/µl)" NA 0
680 "4-day-old" "isolate D (40 gam/µl)" NA 0
681 "4-day-old" "isolate D (40 gam/µl)" NA 0
682 "4-day-old" "isolate D (40 gam/µl)" NA 0
683 "4-day-old" "isolate D (40 gam/µl)" NA 0
684 "4-day-old" "isolate D (40 gam/µl)" NA 0
685 "4-day-old" "isolate D (40 gam/µl)" NA 0
686 "12-day-old" "isolate A (40 gam/µl)" NA 0
687 "12-day-old" "isolate A (40 gam/µl)" NA 0
688 "8-day-old" "isolate A (40 gam/µl)" NA 0
689 "4-day-old" "isolate A (40 gam/µl)" NA 0
690 "4-day-old" "isolate A (40 gam/µl)" NA 0
691 "4-day-old" "isolate A (40 gam/µl)" NA 0
692 "12-day-old" "isolate B (36 gam/µl)" NA 0
693 "12-day-old" "isolate B (36 gam/µl)" NA 0
694 "12-day-old" "isolate B (36 gam/µl)" NA 0
695 "12-day-old" "isolate B (36 gam/µl)" NA 0
696 "12-day-old" "isolate B (36 gam/µl)" NA 0
697 "12-day-old" "isolate B (36 gam/µl)" NA 0
698 "12-day-old" "isolate B (36 gam/µl)" NA 0
699 "12-day-old" "isolate B (36 gam/µl)" NA 0
700 "8-day-old" "isolate B (36 gam/µl)" NA 0
701 "8-day-old" "isolate B (36 gam/µl)" NA 0
702 "8-day-old" "isolate B (36 gam/µl)" NA 0
703 "8-day-old" "isolate B (36 gam/µl)" NA 0
704 "8-day-old" "isolate B (36 gam/µl)" NA 0
705 "8-day-old" "isolate B (36 gam/µl)" NA 0
706 "12-day-old" "isolate C (80 gam/µl)" NA 0
707 "12-day-old" "isolate C (80 gam/µl)" NA 0
708 "12-day-old" "isolate C (80 gam/µl)" NA 0
709 "4-day-old" "isolate C (80 gam/µl)" NA 0
710 "12-day-old" "isolate D (40 gam/µl)" NA 0
711 "12-day-old" "isolate D (40 gam/µl)" NA 0
712 "12-day-old" "isolate D (40 gam/µl)" NA 0
713 "12-day-old" "isolate D (40 gam/µl)" NA 0
714 "12-day-old" "isolate D (40 gam/µl)" NA 0
715 "12-day-old" "isolate D (40 gam/µl)" NA 0
716 "12-day-old" "isolate D (40 gam/µl)" NA 0
717 "12-day-old" "isolate D (40 gam/µl)" NA 0
718 "12-day-old" "isolate D (40 gam/µl)" NA 0
719 "8-day-old" "isolate D (40 gam/µl)" NA 0
720 "8-day-old" "isolate D (40 gam/µl)" NA 0
721 "8-day-old" "isolate D (40 gam/µl)" NA 0
722 "4-day-old" "isolate D (40 gam/µl)" NA 0
723 "4-day-old" "isolate D (40 gam/µl)" NA 0
724 "4-day-old" "isolate D (40 gam/µl)" NA 0
725 "4-day-old" "isolate D (40 gam/µl)" NA 0
726 "4-day-old" "isolate D (40 gam/µl)" NA 0
727 "4-day-old" "isolate D (40 gam/µl)" NA 0
728 "12-day-old" "isolate D (40 gam/µl)" NA 0
729 "4-day-old" "isolate D (40 gam/µl)" NA 0
