"mosquito_id" "cup" "age_class" "isolate" "exposure" "infection_status" "daysPI" "censor"
280 "G2Cno1" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 19 1
281 "G2Cno2" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 19 1
282 "G3Cno1" "4-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 19 1
283 "G1Dno1" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 19 1
284 "G1Dno2" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 19 1
285 "G1Dno2" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 19 1
286 "G1Dno2" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 19 1
287 "G3Dno1" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 19 1
288 "G3Ayes1" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 19 1
289 "G3Ayes1" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 19 1
290 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 19 1
291 "G1Byes1" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 19 1
292 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 19 1
293 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 19 1
294 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 19 1
295 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 19 1
296 "G1Dyes1" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 19 1
297 "G1Dyes2" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 19 1
298 "G2Dyes2" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 19 1
299 "G2Dyes2" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 19 1
300 "G3Dyes1" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 19 1
301 "G3Dyes1" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 19 1
302 "G1Ano1" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 20 1
303 "G2Ano2" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 20 1
304 "G1Bno1" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 20 1
305 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 20 1
306 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 20 1
307 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 20 1
308 "G2Bno2" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 20 1
309 "G1Cno2" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 20 1
310 "G1Dno1" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 20 1
311 "G1Dno2" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 20 1
312 "G1Dno2" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 20 1
313 "G2Dno1" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 20 1
314 "G2Dno2" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 20 1
315 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-uninfected" 20 1
316 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 20 1
317 "G2Cyes1" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 20 1
318 "G2Dyes1" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 20 1
319 "G2Dyes2" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 20 1
320 "G1Ayes1" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 20 1
321 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 20 1
322 "G2Ayes1" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 20 1
323 "G2Ayes1" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 20 1
324 "G2Ayes1" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 20 1
325 "G2Ayes1" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 20 1
326 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 20 1
327 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 20 1
328 "G1Dyes2" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 20 1
329 "G1Dyes2" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 20 1
330 "G1Dyes2" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 20 1
331 "G1Dyes2" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 20 1
332 "G2Dyes2" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 20 1
333 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 20 1
334 "G1Ano1" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 21 1
335 "G1Ano2" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 21 1
336 "G1Ano2" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 21 1
337 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 21 1
338 "G2Ano2" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 21 1
339 "G2Ano2" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 21 1
340 "G1Bno1" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 21 1
341 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 21 1
342 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 21 1
343 "G2Bno2" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 21 1
344 "G1Cno1" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 21 1
345 "G2Cno1" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 21 1
346 "G2Cno1" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 21 1
347 "G3Cno1" "4-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 21 1
348 "G2Byes1" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 21 1
349 "G1Ayes1" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 21 1
350 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 21 1
351 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 21 1
352 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 21 1
353 "G1Byes1" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 21 1
354 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 21 1
355 "G2Byes1" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 21 1
356 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 21 1
357 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 21 1
358 "G1Cyes2" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 21 1
359 "G2Cyes1" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 21 1
360 "G2Cyes1" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 21 1
361 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 21 1
362 "G3Cyes2" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 21 1
363 "G1Ano1" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 22 1
364 "G1Ano2" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 22 1
365 "G1Ano2" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 22 1
366 "G3Ano2" "4-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 22 1
367 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 22 1
368 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 22 1
369 "G2Bno2" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 22 1
370 "G2Bno2" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 22 1
371 "G3Bno1" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 22 1
372 "G3Bno2" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 22 1
373 "G3Bno2" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 22 1
374 "G2Cno1" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 22 1
375 "G1Ayes1" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-uninfected" 22 1
376 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 22 1
377 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 22 1
378 "G2Ayes1" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 22 1
379 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 22 1
380 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 22 1
381 "G3Ayes1" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 22 1
382 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 22 1
383 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 22 1
384 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 22 1
385 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 22 1
386 "G1Cyes2" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 22 1
387 "G1Cyes2" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 22 1
388 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 22 1
389 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 22 1
390 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 22 1
391 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 22 1
392 "G1Dyes1" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 22 1
393 "G2Dyes1" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 22 1
394 "G2Dyes1" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 22 1
395 "G2Dyes1" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 22 1
396 "G2Dyes2" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 22 1
397 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 23 1
398 "G2Ano2" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 23 1
399 "G2Ano2" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 23 1
400 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 23 1
401 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 23 1
402 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 23 1
403 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 23 1
404 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 23 1
405 "G3Cno1" "4-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 23 1
406 "G2Dno1" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 23 1
407 "G2Dno2" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 23 1
408 "G1Ayes1" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 23 1
409 "G2Ayes1" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 23 1
410 "G1Byes1" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 23 1
411 "G1Byes1" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 23 1
412 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 23 1
413 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 23 1
414 "G3Dyes1" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 23 1
415 "G3Dyes1" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 23 1
416 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 24 1
417 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 24 1
418 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 24 1
419 "G1Cno1" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 24 1
420 "G2Dno1" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 24 1
421 "G2Dno1" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 24 1
422 "G2Dno1" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 24 1
423 "G2Dno2" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 24 1
424 "G2Dno2" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 24 1
425 "G3Dno2" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 24 1
426 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-uninfected" 24 1
427 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-uninfected" 24 1
428 "G2Byes1" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 24 1
429 "G2Byes1" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 24 1
430 "G1Byes1" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 24 1
431 "G2Byes1" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 24 1
432 "G2Cyes1" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 24 1
433 "G1Ano2" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 25 1
434 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 25 1
435 "G2Cno1" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 25 1
436 "G3Cno1" "4-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 25 1
437 "G1Dno1" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 25 1
438 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 25 1
439 "G3Ayes1" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 25 1
440 "G1Ayes1" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 25 1
441 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 25 1
442 "G3Ayes1" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 25 1
443 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 25 1
444 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 25 1
445 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 25 1
446 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 25 1
447 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 25 1
448 "G2Cyes1" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 25 1
449 "G2Cyes1" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 25 1
450 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 25 1
451 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 25 1
452 "G1Dyes1" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 25 1
453 "G1Dyes1" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 25 1
454 "G2Dyes1" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 25 1
455 "G1Ano1" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 26 1
456 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 26 1
457 "G3Ano2" "4-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 26 1
458 "G1Bno1" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 26 1
459 "G1Bno1" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 26 1
460 "G3Bno1" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 26 1
461 "G3Bno1" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 26 1
462 "G3Bno1" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 26 1
463 "G1Cno1" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 26 1
464 "G1Dno2" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 26 1
465 "G2Dno2" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 26 1
466 "G1Dyes1" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 26 1
467 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 26 1
468 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 26 1
469 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 26 1
470 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 26 1
471 "G1Byes1" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 26 1
472 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 26 1
473 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 26 1
474 "G1Cyes2" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 26 1
475 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 26 1
476 "G3Cyes2" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 26 1
477 "G1Ano1" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 27 1
478 "G1Bno1" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 27 1
479 "G2Bno2" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 27 1
480 "G2Bno2" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 27 1
481 "G1Dno2" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 27 1
482 "G3Dno2" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 27 1
483 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 27 1
484 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 27 1
485 "G1Dyes1" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 27 1
486 "G3Dyes1" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 27 1
487 "G1Ano1" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 28 1
488 "G3Bno2" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 28 1
489 "G2Cno1" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 28 1
490 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 28 1
491 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 28 1
492 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 28 1
493 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 28 1
494 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 28 1
495 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 28 1
496 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 28 1
497 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 28 1
498 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 28 1
499 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 28 1
500 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 28 1
501 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 28 1
502 "G1Cyes2" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 28 1
503 "G1Dyes2" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 28 1
504 "G1Dyes2" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 28 1
505 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 29 1
506 "G2Bno2" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 29 1
507 "G2Bno2" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 29 1
508 "G3Bno1" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 29 1
509 "G2Cno1" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 29 1
510 "G3Cno1" "4-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 29 1
511 "G2Dno2" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 29 1
512 "G1Byes1" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 29 1
513 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 29 1
514 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 29 1
515 "G1Dyes1" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 29 1
516 "G1Dyes2" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 29 1
517 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 29 1
518 "G1Bno1" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 30 1
519 "G1Bno1" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 30 1
520 "G2Bno2" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 30 1
521 "G3Bno2" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 30 1
522 "G3Bno2" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 30 1
523 "G3Cno1" "4-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 30 1
524 "G1Dno1" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 30 1
525 "G3Dno2" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 30 1
526 "G3Cyes2" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 30 1
527 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 30 1
528 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 30 1
529 "G1Byes1" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 30 1
530 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 30 1
531 "G2Dyes2" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 30 1
532 "G2Ano2" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 31 1
533 "G2Ano2" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 31 1
534 "G2Bno2" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 31 1
535 "G3Bno1" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 31 1
536 "G3Bno2" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 31 1
537 "G1Cno1" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 31 1
538 "G3Dyes1" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 31 1
539 "G3Dyes1" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 31 1
540 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 31 1
541 "G1Dyes2" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 31 1
542 "G2Dyes2" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 31 1
543 "G3Ano1" "4-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 32 1
544 "G3Ano1" "4-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 32 1
545 "G3Ano1" "4-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 32 1
546 "G1Bno1" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 32 1
547 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 32 1
548 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 32 1
549 "G3Bno1" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 32 1
550 "G1Cno2" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 32 1
551 "G1Cno1" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 32 1
552 "G2Cno1" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 32 1
553 "G2Dno2" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 32 1
554 "G2Dno2" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 32 1
555 "G1Cyes2" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 32 1
556 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 32 1
557 "G1Cyes2" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 32 1
558 "G1Cyes2" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 32 1
559 "G2Cyes1" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 32 1
560 "G1Ano1" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 33 1
